"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",49900.6480697867,,
"AUS","Australia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",49648.7720561079,,
"AUS","Australia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",49988.5582048906,,
"AUS","Australia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",49562.7961917006,,
"AUS","Australia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",49603.2666562394,,
"AUS","Australia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",49125.8672341823,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",49046.7076455864,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",49119.5245501376,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",49298.5666866514,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",49694.5120670289,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",50330.4552242943,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",50348.9401981944,,
"BEL","Belgium","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",49714.5513424921,,
"BEL","Belgium","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",50362.6586290707,,
"BEL","Belgium","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",50583.0421345091,,
"BEL","Belgium","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",50259.1820690747,,
"BEL","Belgium","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",50041.0771459814,,
"BEL","Belgium","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",49674.9950476864,,
"CAN","Canada","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",46059.3228474804,,
"CAN","Canada","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",46937.3167948156,,
"CAN","Canada","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",47453.004608298,,
"CAN","Canada","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",47673.3254254925,,
"CAN","Canada","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",47370.1955214848,,
"CAN","Canada","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",47621.8436526166,,
"CZE","Czech Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",22528.4127932473,,
"CZE","Czech Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",22290.4946988665,,
"CZE","Czech Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",22757.3383887199,,
"CZE","Czech Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",23380.7429536061,,
"CZE","Czech Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",24330.753582818,,
"CZE","Czech Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",25372.0429634876,,
"DNK","Denmark","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",49094.2461278247,,
"DNK","Denmark","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",49423.8023635253,,
"DNK","Denmark","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",50368.6564234037,,
"DNK","Denmark","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",51125.5502110602,,
"DNK","Denmark","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",51826.0530970321,,
"DNK","Denmark","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",51466.3004625045,,
"FIN","Finland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",42902.0972120131,,
"FIN","Finland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",42440.9475030898,,
"FIN","Finland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",42425.0748590545,,
"FIN","Finland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",42885.1913489131,,
"FIN","Finland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",43138.9339313619,,
"FIN","Finland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",42963.6679912954,,
"FRA","France","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",41759.2704649782,,
"FRA","France","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",41986.2679059577,,
"FRA","France","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",42402.9926200803,,
"FRA","France","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",42731.3134045579,,
"FRA","France","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",43220.6120851797,,
"FRA","France","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",43755.3289332253,,
"DEU","Germany","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",44202.3176699673,,
"DEU","Germany","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",44735.6172185794,,
"DEU","Germany","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",45421.1651352145,,
"DEU","Germany","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",46408.6095650197,,
"DEU","Germany","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",47096.5532041581,,
"DEU","Germany","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",47585.308781889,,
"GRC","Greece","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",27825.8144013693,,
"GRC","Greece","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",26025.5584626361,,
"GRC","Greece","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",26532.2522735054,,
"GRC","Greece","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",26335.9459089031,,
"GRC","Greece","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",26330.3677055652,,
"GRC","Greece","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",26064.2938448664,,
"HUN","Hungary","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",20567.6492204489,,
"HUN","Hungary","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",20613.2086921179,,
"HUN","Hungary","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",20469.5760851907,,
"HUN","Hungary","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",19928.8386696738,,
"HUN","Hungary","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",20824.5134677243,,
"HUN","Hungary","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",22575.9975023553,,
"IRL","Ireland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",46905.2563476864,,
"IRL","Ireland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",45734.9477767994,,
"IRL","Ireland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",45827.7304440118,,
"IRL","Ireland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",46560.6626300175,,
"IRL","Ireland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",46932.0986739545,,
"IRL","Ireland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",47652.9265017035,,
"ITA","Italy","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",36267.4729791703,,
"ITA","Italy","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",36323.7204404409,,
"ITA","Italy","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",36460.5778281836,,
"ITA","Italy","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",36769.6675766841,,
"ITA","Italy","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",37032.9728706123,,
"ITA","Italy","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",36658.3960819554,,
"JPN","Japan","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",40838.6382454799,,
"JPN","Japan","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",40791.1386735365,,
"JPN","Japan","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",40049.2541078984,,
"JPN","Japan","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",40003.970864264,,
"JPN","Japan","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",40680.8948183122,,
"JPN","Japan","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",40862.605531952,,
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",32415.5690843184,,
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",33033.4809142828,,
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",32840.3735871515,,
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",33424.2830883015,,
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",34554.8240369594,,
"KOR","Korea","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",35191.0989982666,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",58486.3537878323,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",58813.1948445968,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",59928.2629419462,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",61975.0971464396,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",62090.9002076502,,
"LUX","Luxembourg","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",63062.2057815491,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",52781.2218865497,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",52807.5245027614,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",52601.862745467,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",53170.9604153299,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",53294.8852909138,,
"NLD","Netherlands","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",52876.5052161169,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",50226.6543932748,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",51235.8426026097,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",51414.7292185944,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",51662.6681639317,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",50824.869699419,,
"NOR","Norway","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",51212.2142242616,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",23401.8733028706,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",23668.8068490314,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",24150.7821003733,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",24680.0727838435,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",25878.9078035933,,
"POL","Poland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",27046.0965519544,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",25151.4025188665,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",25668.1580696662,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",25216.9176245415,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",25164.4538074836,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",25362.3486242956,,
"PRT","Portugal","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",25366.5016777539,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",21618.1639308971,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",21781.5919924479,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",22204.1224095907,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",23025.8893546157,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",23800.8915746605,,
"SVK","Slovak Republic","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",24327.9817571446,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",38328.2306393488,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",38415.6997772412,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",38422.0115045553,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",39338.9353619615,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",39196.0989726629,,
"ESP","Spain","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",38507.4944144873,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",39948.5824335321,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",40366.1406882961,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",40777.796931324,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",41467.0510335515,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",42154.4897851354,,
"SWE","Sweden","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",42392.7553925393,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",61567.3673906285,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",62516.0528153685,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",62616.2171513568,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",62495.2828450202,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",62369.7478854347,,
"CHE","Switzerland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",62282.5688602117,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",43105.0849175443,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",43153.9886368667,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",42781.9138848303,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",43152.1720562389,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",43712.6196635994,,
"GBR","United Kingdom","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",43731.542692694,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",58669.213014264,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",58411.6324256051,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",59249.9229499367,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",60691.6617126804,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",60685.8079109297,,
"USA","United States","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",60558.3581202393,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",15193.4727530094,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",15195.8153117188,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",15172.0055396083,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",15480.8207313183,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",15406.7507193331,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",15313.9399579411,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",31747.7512725387,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",32022.2226642085,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",32015.8632182023,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",33018.9879986887,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",34071.6082115378,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",35067.4493018789,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2016","2016",32965.3872791306,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2016","2016",32506.3604595362,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2016","2016",33045.4909388131,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",33699.331893987,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",34732.3770193207,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",34932.728296191,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",20531.8185148096,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2013","2013","USD","US Dollar","0","Units","2017","2017",20823.7751549607,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2014","2014","USD","US Dollar","0","Units","2017","2017",21970.6710567653,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",22839.678852084,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",23935.4331284194,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",24335.9751038841,,
